#SampleID	BarcodeSequence	LinkerPrimerSequence	latitude	longitude	Project	Description
ICM_SPO_Bv6--SPO_0001_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0001_2008_01_31
ICM_SPO_Bv6--SPO_0002_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0002_2008_01_31
ICM_SPO_Bv6--SPO_0003_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0003_2008_01_31
ICM_SPO_Bv6--SPO_0004_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0004_2008_01_31
ICM_SPO_Bv6--SPO_0005_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0005_2008_01_31
ICM_SPO_Bv6--SPO_0006_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0006_2008_01_31
ICM_SPO_Bv6--SPO_0007_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0007_2008_01_31
ICM_SPO_Bv6--SPO_0008_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0008_2008_01_31
ICM_SPO_Bv6--SPO_0009_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0009_2008_01_31
ICM_SPO_Bv6--SPO_0010_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0010_2008_01_31
ICM_SPO_Bv6--SPO_0011_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0011_2008_01_31
ICM_SPO_Bv6--SPO_0012_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0012_2008_01_31
ICM_SPO_Bv6--SPO_0013_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0013_2008_01_31
ICM_SPO_Bv6--SPO_0014_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0014_2008_01_31
ICM_SPO_Bv6--SPO_0015_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0015_2008_01_31
ICM_SPO_Bv6--SPO_0016_2008_01_31			-19.15583333	146.88	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0016_2008_01_31
