#SampleID	BarcodeSequence	LinkerPrimerSequence	latitude	longitude	depth_end	dna_quant	aux_corrected_sample_depth	aux_temperature_t	aux_salinity_s	depth_start	aux_daylength	environmental_zone	domain	aux_apparent_oxygen_utilization_a	Sampling_date	aux_sunset_min	aux_sunrise_hr	aux_nitrate_n	aux_bec_simulated_phosphate_um	absolute_depth_beta	sediment_depth_start	envo_biome	aux_bec_simulated_iron_nm	habitat	Dissolved_Iron_Fe_II	aux_dissolved_oxygen_o	sample_type	aux_sunrise_min	redox_state	aux_phosphate_p	aux_bec_simulated_nitrate_um	iho_area	aux_modisa_sst	Sulfate_SO4	envo_feature	aux_corrected_depth	envo_material	aux_absolute_depth	aux_sunset_hr	aux_sediment	sediment_depth_end	aux_avhrr_sst	aux_modis_k490	aux_par	salinity	Ammonium_NH4	longhurst_long_name	aux_oxygen_saturation_u	sample_type_beta	longhurst_zone	aux_silicate_i	nitrate_nodc_monthly	nitrate_nodc_annual	aux_chlo	Bact_cell_count	Nitrate_NO3_Nitrite_NO2	Silicon	Phosphate_PO4	temperature_nodc_annual	temp	collection_time	aux_seawifis_k490	lat_lon	Wind_Speed	Pressure	Total_Phosphorus	Air_Temperature	Irradiance	Project	Description
ICM_AGW_Bv6--AGW_0001_2005_06_15			5.54476667	-53.17898333	1	324	5	None	None	1	12.325	tropical	Bacteria	None	2005-06-15	41.7159	9	None	None	237	0.01	neritic littoral zone	None	coastal	11.09	None	sediment	22.2159	oxic	None	None	North_Atlantic_Ocean	29.249	20000	continental shelf	5	suspended sediment	5	21	Y	0.02	27.96	None	51.90074	24.505	973.6	Coastal - Guianas Coastal Province	None	sediment	GUIA	None	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	ICM_AGW_Bv6	ICM_AGW_Bv6--AGW_0001_2005_06_15
ICM_AGW_Bv6--AGW_0002_2005_06_15			5.54476667	-53.17898333	1	236	5	None	None	1	12.325	tropical	Bacteria	None	2005-06-15	41.7159	9	None	None	237	0.08	neritic littoral zone	None	coastal	32.91	None	sediment	22.2159	oxic	None	None	North_Atlantic_Ocean	29.249	14000	continental shelf	5	suspended sediment	5	21	Y	0.09	27.96	None	51.90074	28.695	2448	Coastal - Guianas Coastal Province	None	sediment	GUIA	None	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	ICM_AGW_Bv6	ICM_AGW_Bv6--AGW_0002_2005_06_15
ICM_AGW_Bv6--AGW_0003_2006_06_15			5.54278333	-52.19741667	52	220	5	27.731	33.761	52	12.325	tropical	Bacteria	0.035	2006-06-15	37.7897	9	0.204	0.000410538	237	0.01	marine neritic benthic zone biome	1.86146	coastal	293.67	4.574	sediment	18.2897	oxic	0.117	0.001	North_Atlantic_Ocean	28.929	17000	continental shelf	53	suspended sediment	53	21	Y	0.02	28.165	0.25803	30.69557	21.434	882	Coastal - Guianas Coastal Province	99.244	sediment	GUIA	4.692	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	ICM_AGW_Bv6	ICM_AGW_Bv6--AGW_0003_2006_06_15
ICM_AGW_Bv6--AGW_0004_2006_06_15			5.54278333	-52.19741667	52	92	5	27.731	33.761	52	12.325	tropical	Bacteria	0.035	2006-06-15	37.7897	9	0.204	0.000410538	237	0.08	marine neritic benthic zone biome	1.86146	coastal	146.47	4.574	sediment	18.2897	oxic	0.117	0.001	North_Atlantic_Ocean	28.929	17000	continental shelf	53	suspended sediment	53	21	Y	0.09	28.165	0.25803	30.69557	26.233	2144	Coastal - Guianas Coastal Province	99.244	sediment	GUIA	4.692	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	ICM_AGW_Bv6	ICM_AGW_Bv6--AGW_0004_2006_06_15
ICM_LCY_Bv6--LCY_0001_2003_05_11			30.124	-42.11933333	827	undefined	827	9.716	35.369	827	13.425	temperate	Bacteria	2.501	2003-05-11	27.4773	8	21.631	1.02327	469	undefined	marine hydrothermal vent biome	0.613312	vents	undefined	4.01	hydrothermal chimney	1.9773	oxic	1.388	15.7313	North_Atlantic_Ocean	21.773	undefined	marine hydrothermal vent chimney	1237	microbial mat material	1237	21	N	undefined	21.575	0.02217	59.6633	undefined	None	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	61.313	sediment	NASW	12.701	13.252	21.255	0.048923	None	None	None	None	9.746	7	11.55	0.022305	undefined	undefined	undefined	undefined	undefined	undefined	ICM_LCY_Bv6	ICM_LCY_Bv6--LCY_0001_2003_05_11
ICM_LCY_Bv6--LCY_0003_2003_05_04			30.124	-42.11933333	782	undefined	782	9.716	35.369	782	13.2583	temperate	Bacteria	2.501	2003-05-04	23.4773	8	21.631	1.02327	469	undefined	marine hydrothermal vent biome	0.613312	vents	undefined	4.01	hydrothermal chimney	7.9773	oxic	1.388	15.7313	North_Atlantic_Ocean	21.199	undefined	marine hydrothermal vent chimney	1237	microbial mat material	1237	21	N	undefined	21.345	0.02144	54.34369	undefined	7.61	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	61.313	sediment	NASW	12.701	13.252	21.255	0.065511	None	None	3.49	0.52	9.746	73	14.07	0.025454	undefined	undefined	undefined	undefined	undefined	undefined	ICM_LCY_Bv6	ICM_LCY_Bv6--LCY_0003_2003_05_04
ICM_LCY_Bv6--LCY_0005_2003_05_16			30.124	-42.11933333	735	undefined	735	11.261	35.532	735	13.5333	temperate	Bacteria	2.271	2003-05-16	30.4773	7	19.892	1.02327	469	undefined	marine hydrothermal vent biome	0.613312	vents	undefined	3.894	hydrothermal chimney	58.4773	oxic	1.233	15.7313	North_Atlantic_Ocean	21.773	undefined	marine hydrothermal vent chimney	1237	microbial mat material	1237	21	N	undefined	21.575	0.02217	59.6633	undefined	1.344	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	63.433	sediment	NASW	9.837	13.252	18.361	0.048923	69.1	5.28	18.24	0.31	11.268	81	14.13	0.022305	undefined	undefined	undefined	undefined	undefined	undefined	ICM_LCY_Bv6	ICM_LCY_Bv6--LCY_0005_2003_05_16
ICM_LCY_Bv6--LCY_0007_2003_05_04			30.124	-42.11933333	782	undefined	782	9.716	35.369	782	13.2583	temperate	Bacteria	2.501	2003-05-04	23.4773	8	21.631	1.02327	469	undefined	marine hydrothermal vent biome	0.613312	vents	undefined	4.01	hydrothermal chimney	7.9773	oxic	1.388	15.7313	North_Atlantic_Ocean	21.199	undefined	marine hydrothermal vent chimney	1237	microbial mat material	1237	21	N	undefined	21.345	0.02144	54.34369	undefined	7.61	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	61.313	sediment	NASW	12.701	13.252	21.255	0.065511	None	None	3.49	0.52	9.746	73	14.72	0.025454	undefined	undefined	undefined	undefined	undefined	undefined	ICM_LCY_Bv6	ICM_LCY_Bv6--LCY_0007_2003_05_04
ICM_SPO_Bv6--SPO_0001_2008_01_31			-19.15583333	146.88	15	undefined	15	undefined	undefined	15	12.85	tropical	Bacteria	undefined	2008-01-31	50.48	19	undefined	undefined	114	undefined	neritic sub-littoral zone	undefined	sponge	undefined	undefined	Rhopaloeides odorabile	59.48	oxic	undefined	undefined	Coral_Sea	undefined	undefined	marine sponge reef	5	organic material	27	8	N	undefined	28.63	undefined	52.659789	undefined	None	Coastal - East Australian Coastal Province	undefined	Host_animal	AUSE	undefined	undefined	undefined	1.873836667	undefined	None	None	undefined	undefined	28	16	0.154573333	None	9.7	10.08	None	26.62	374	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0001_2008_01_31
ICM_SPO_Bv6--SPO_0002_2008_01_31			-19.15583333	146.88	15	undefined	15	undefined	undefined	15	12.85	tropical	Bacteria	undefined	2008-01-31	50.48	19	undefined	undefined	114	undefined	neritic sub-littoral zone	undefined	sponge	undefined	undefined	Rhopaloeides odorabile	59.48	oxic	undefined	undefined	Coral_Sea	undefined	undefined	marine sponge reef	5	organic material	27	8	N	undefined	28.63	undefined	52.659789	undefined	None	Coastal - East Australian Coastal Province	undefined	Host_animal	AUSE	undefined	undefined	undefined	1.873836667	undefined	None	None	undefined	undefined	28.42	16	0.154573333	-19.15583333+146.88	9.7	10.08	None	26.62	374	ICM_SPO_Bv6	ICM_SPO_Bv6--SPO_0002_2008_01_31
